teryt_powiat,powiat,rok,populacja_65plus,zmienna_id,zmienna_nazwa
011212001000,Powiat bocheński,2015,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2016,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2017,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2018,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2019,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2020,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2021,0,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2022,2160,2137,Ludność w wieku 65 lat i więcej
011212001000,Powiat bocheński,2023,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2015,250,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2022,1200,2137,Ludność w wieku 65 lat i więcej
011212006000,Powiat krakowski,2023,516,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2022,0,2137,Ludność w wieku 65 lat i więcej
011212008000,Powiat miechowski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2015,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2016,14,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2017,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2018,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2019,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2020,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2021,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2022,0,2137,Ludność w wieku 65 lat i więcej
011212009000,Powiat myślenicki,2023,0,2137,Ludność w wieku 65 lat i więcej
011212014000,Powiat proszowicki,2015,0,2137,Ludność w wieku 65 lat i więcej
011212014000,Powiat proszowicki,2016,0,2137,Ludność w wieku 65 lat i więcej
011212014000,Powiat proszowicki,2017,0,2137,Ludność w wieku 65 lat i więcej
011212014000,Powiat proszowicki,2018,0,2137,Ludność w wieku 65 lat i więcej
