teryt_powiat,powiat,rok,typ,miara,populacja
011212001000,Powiat bocheński,2015,historyczny,wiek_poprodukcyjny_ogołem,17462
011212001000,Powiat bocheński,2016,historyczny,wiek_poprodukcyjny_ogołem,17984
011212001000,Powiat bocheński,2017,historyczny,wiek_poprodukcyjny_ogołem,18531
011212001000,Powiat bocheński,2018,historyczny,wiek_poprodukcyjny_ogołem,19134
011212001000,Powiat bocheński,2019,historyczny,wiek_poprodukcyjny_ogołem,19708
011212001000,Powiat bocheński,2020,historyczny,wiek_poprodukcyjny_ogołem,20255
011212001000,Powiat bocheński,2021,historyczny,wiek_poprodukcyjny_ogołem,20626
011212001000,Powiat bocheński,2022,historyczny,wiek_poprodukcyjny_ogołem,21097
011212001000,Powiat bocheński,2023,historyczny,wiek_poprodukcyjny_ogołem,21561
011212001000,Powiat bocheński,2024,historyczny,wiek_poprodukcyjny_ogołem,21978
011212006000,Powiat krakowski,2015,historyczny,wiek_poprodukcyjny_ogołem,47138
011212006000,Powiat krakowski,2016,historyczny,wiek_poprodukcyjny_ogołem,48758
011212006000,Powiat krakowski,2017,historyczny,wiek_poprodukcyjny_ogołem,50247
011212006000,Powiat krakowski,2018,historyczny,wiek_poprodukcyjny_ogołem,51925
011212006000,Powiat krakowski,2019,historyczny,wiek_poprodukcyjny_ogołem,53620
011212006000,Powiat krakowski,2020,historyczny,wiek_poprodukcyjny_ogołem,56054
011212006000,Powiat krakowski,2021,historyczny,wiek_poprodukcyjny_ogołem,57258
011212006000,Powiat krakowski,2022,historyczny,wiek_poprodukcyjny_ogołem,58662
011212006000,Powiat krakowski,2023,historyczny,wiek_poprodukcyjny_ogołem,60318
011212006000,Powiat krakowski,2024,historyczny,wiek_poprodukcyjny_ogołem,61687
011212008000,Powiat miechowski,2015,historyczny,wiek_poprodukcyjny_ogołem,10996
011212008000,Powiat miechowski,2016,historyczny,wiek_poprodukcyjny_ogołem,11227
011212008000,Powiat miechowski,2017,historyczny,wiek_poprodukcyjny_ogołem,11401
011212008000,Powiat miechowski,2018,historyczny,wiek_poprodukcyjny_ogołem,11577
011212008000,Powiat miechowski,2019,historyczny,wiek_poprodukcyjny_ogołem,11788
011212008000,Powiat miechowski,2020,historyczny,wiek_poprodukcyjny_ogołem,11963
011212008000,Powiat miechowski,2021,historyczny,wiek_poprodukcyjny_ogołem,12001
011212008000,Powiat miechowski,2022,historyczny,wiek_poprodukcyjny_ogołem,12138
011212008000,Powiat miechowski,2023,historyczny,wiek_poprodukcyjny_ogołem,12319
011212008000,Powiat miechowski,2024,historyczny,wiek_poprodukcyjny_ogołem,12448
011212009000,Powiat myślenicki,2015,historyczny,wiek_poprodukcyjny_ogołem,18900
011212009000,Powiat myślenicki,2016,historyczny,wiek_poprodukcyjny_ogołem,19511
011212009000,Powiat myślenicki,2017,historyczny,wiek_poprodukcyjny_ogołem,20161
011212009000,Powiat myślenicki,2018,historyczny,wiek_poprodukcyjny_ogołem,20890
011212009000,Powiat myślenicki,2019,historyczny,wiek_poprodukcyjny_ogołem,21551
011212009000,Powiat myślenicki,2020,historyczny,wiek_poprodukcyjny_ogołem,22581
011212009000,Powiat myślenicki,2021,historyczny,wiek_poprodukcyjny_ogołem,23089
011212009000,Powiat myślenicki,2022,historyczny,wiek_poprodukcyjny_ogołem,23662
011212009000,Powiat myślenicki,2023,historyczny,wiek_poprodukcyjny_ogołem,24390
011212009000,Powiat myślenicki,2024,historyczny,wiek_poprodukcyjny_ogołem,25021
011212014000,Powiat proszowicki,2015,historyczny,wiek_poprodukcyjny_ogołem,8606
011212014000,Powiat proszowicki,2016,historyczny,wiek_poprodukcyjny_ogołem,8774
011212014000,Powiat proszowicki,2017,historyczny,wiek_poprodukcyjny_ogołem,8920
011212014000,Powiat proszowicki,2018,historyczny,wiek_poprodukcyjny_ogołem,9161
011212014000,Powiat proszowicki,2019,historyczny,wiek_poprodukcyjny_ogołem,9297
011212014000,Powiat proszowicki,2020,historyczny,wiek_poprodukcyjny_ogołem,9497
011212014000,Powiat proszowicki,2021,historyczny,wiek_poprodukcyjny_ogołem,9586
011212014000,Powiat proszowicki,2022,historyczny,wiek_poprodukcyjny_ogołem,9700
011212014000,Powiat proszowicki,2023,historyczny,wiek_poprodukcyjny_ogołem,9823
011212014000,Powiat proszowicki,2024,historyczny,wiek_poprodukcyjny_ogołem,10010
011212019000,Powiat wielicki,2015,historyczny,wiek_poprodukcyjny_ogołem,19655
011212019000,Powiat wielicki,2016,historyczny,wiek_poprodukcyjny_ogołem,20367
011212019000,Powiat wielicki,2017,historyczny,wiek_poprodukcyjny_ogołem,21130
011212019000,Powiat wielicki,2018,historyczny,wiek_poprodukcyjny_ogołem,21972
011212019000,Powiat wielicki,2019,historyczny,wiek_poprodukcyjny_ogołem,22778
011212019000,Powiat wielicki,2020,historyczny,wiek_poprodukcyjny_ogołem,24024
011212019000,Powiat wielicki,2021,historyczny,wiek_poprodukcyjny_ogołem,24597
011212019000,Powiat wielicki,2022,historyczny,wiek_poprodukcyjny_ogołem,25237
011212019000,Powiat wielicki,2023,historyczny,wiek_poprodukcyjny_ogołem,25909
011212019000,Powiat wielicki,2024,historyczny,wiek_poprodukcyjny_ogołem,26468
011212161000,Powiat m. Kraków,2015,historyczny,wiek_poprodukcyjny_ogołem,168373
011212161000,Powiat m. Kraków,2016,historyczny,wiek_poprodukcyjny_ogołem,173425
011212161000,Powiat m. Kraków,2017,historyczny,wiek_poprodukcyjny_ogołem,177436
011212161000,Powiat m. Kraków,2018,historyczny,wiek_poprodukcyjny_ogołem,181160
011212161000,Powiat m. Kraków,2019,historyczny,wiek_poprodukcyjny_ogołem,184173
011212161000,Powiat m. Kraków,2020,historyczny,wiek_poprodukcyjny_ogołem,178586
011212161000,Powiat m. Kraków,2021,historyczny,wiek_poprodukcyjny_ogołem,178979
011212161000,Powiat m. Kraków,2022,historyczny,wiek_poprodukcyjny_ogołem,179622
011212161000,Powiat m. Kraków,2023,historyczny,wiek_poprodukcyjny_ogołem,180689
011212161000,Powiat m. Kraków,2024,historyczny,wiek_poprodukcyjny_ogołem,181951
011212205000,Powiat gorlicki,2015,historyczny,wiek_poprodukcyjny_ogołem,19466
011212205000,Powiat gorlicki,2016,historyczny,wiek_poprodukcyjny_ogołem,19983
011212205000,Powiat gorlicki,2017,historyczny,wiek_poprodukcyjny_ogołem,20480
011212205000,Powiat gorlicki,2018,historyczny,wiek_poprodukcyjny_ogołem,21027
011212205000,Powiat gorlicki,2019,historyczny,wiek_poprodukcyjny_ogołem,21585
011212205000,Powiat gorlicki,2020,historyczny,wiek_poprodukcyjny_ogołem,22072
011212205000,Powiat gorlicki,2021,historyczny,wiek_poprodukcyjny_ogołem,22343
011212205000,Powiat gorlicki,2022,historyczny,wiek_poprodukcyjny_ogołem,22782
011212205000,Powiat gorlicki,2023,historyczny,wiek_poprodukcyjny_ogołem,23222
011212205000,Powiat gorlicki,2024,historyczny,wiek_poprodukcyjny_ogołem,23690
011212207000,Powiat limanowski,2015,historyczny,wiek_poprodukcyjny_ogołem,18990
011212207000,Powiat limanowski,2016,historyczny,wiek_poprodukcyjny_ogołem,19444
