wojewodztwo,miejsca_stacjonarne,liczba_dps,pop_80plus,wskaznik_10k
Lubelskie,5902,45,94782,623
Podlaskie,3978,22,55231,720
Podkarpackie,6721,54,89656,750
Kujawsko-Pomorskie,6227,49,80879,770
Mazowieckie,18745,107,238048,787
Małopolskie,11761,94,147291,798
Śląskie,16347,102,204442,800
Wielkopolskie,9942,68,123727,804
Łódzkie,8932,68,109897,813
Dolnośląskie,10045,68,119586,840
Lubuskie,3208,23,36114,888
Świętokrzyskie,5642,42,57032,989
Pomorskie,9175,45,89998,1019
Zachodniopomorskie,6675,38,65036,1026
Opolskie,4899,29,44607,1098
Warmińsko-Mazurskie,5851,49,51371,1139
