ID,Miejscowość,Nazwa,Telefon,Brak email,Brak www,Adres
187,Alwernia,"Miejsko-Gminny Ośrodek Pomocy Społecznej Alwernia",12 283 11 15,TAK,TAK,"Gęsikowskiego 7"
168,Biały Dunajec,"Gminny Ośrodek Pomocy Społecznej w Białym Dunajcu",18 207 95 12,,TAK,"ul. Jana Pawła II 312"
99,Biecz,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Bieczu",(13) 447-00-41, (13) 447-24-80,,TAK,"ul. Binarowska 5"
97,Bolesław,"Gminny Ośrodek Pomocy Społecznej w  Bolesławiu (pow. dąbrowski)",14 641 50 27,,TAK,"68"
145,Bolesław,"Gminny Ośrodek Pomocy Społecznej w Bolesławiu (pow. olkuski)",32 642 40 34,,TAK,"ul. Główna 46"
242,Brzeźnica,"Gminny Ośrodek Pomocy Społecznej Brzeźnica",33 879 20 29,TAK,TAK,"Krakowska 111"
233,Budzów,"Gminny Ośrodek Pomocy Społecznej w Budzowie",33 876 77 52,TAK,TAK,"Budzów 445"
234,Bystra-Sidzina,"GOPS Bystra-Sidzina",18 268 12 20,TAK,TAK,"Bystra-Sidzina 467"
149,Chełmek,"Miejski Ośrodek Pomocy Społecznej w Chełmku",33 846 13 39,,TAK,"ul. Staicha 1"
215,Chełmiec,"Gminny Ośrodek Pomocy Społecznej Chełmiec",18 440 46 27,TAK,TAK,"Marcinkowicka 6"
221,Czarny Dunajec,"Gminny Ośrodek Pomocy Społecznej w Czarnym Dunajcu",18 544 72 89,TAK,TAK,"Kamieniec Dolny 55"
182,Czchów,"Miejski Ośrodek Pomocy Społecznej i Świadczeń Rodzinnych w Czchowie",14 663 65 65,TAK,TAK,"Rynek 12"
222,Maniowy,"Gminny Ośrodek Pomocy Społecznej w Maniowach",18 275 08 83,TAK,TAK,"Gorczańska 3"
210,Dobczyce,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Dobczycach",12 372 17 14,TAK,TAK,"Rynek 26"
189,Dąbrowa Tarnowska,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Dąbrowie Tarnowskiej",14 642 29 15,TAK,TAK,"Rynek 34"
183,Wola Dębińska,"GOPS Dębno",14 631 85 92,TAK,TAK,"Wola Dębińska 240"
247,Gdów,"Gminny Ośrodek Pomocy Społecznej w Gdowie",12 251 48 32,TAK,TAK,"Gdów 145"
224,Nowy Targ,"Gminny Ośrodek Pomocy Społecznej Gmina Nowy Targ",18 265 55 87,TAK,TAK,"Jana Pawła II 97"
237,Tarnów,"Gminny Ośrodek Pomocy Społecznej Tarnów",14 688 01 54,TAK,TAK,"Krakowska 19"
184,Gnojnik,"Gminny Ośrodek Pomocy Społecznej Gnojnik",14 686 97 20,TAK,TAK,"Gnojnik 1"
207,Gołcza,"GOPS Gołcza",12 388 64 11,TAK,TAK,"Gołcza 80"
216,Gródek nad Dunajcem,"Gminny Ośrodek Pomocy Społecznej Gródek nad Dunajcem",18 440 10 96,TAK,TAK,"Gródek nad Dunajcem 170"
198,Wawrzeńczyce,"Gminny Ośrodek Pomocy Społecznej w Igołomi-Wawrzeńczycach",12 287 40 03,TAK,TAK,"Wawrzeńczyce 57"
199,Iwanowice,"GOPS Iwanowice",12 388 41 22,TAK,TAK,"Iwanowice 99"
185,Iwkowa,"GOPS Iwkowa",14 684 40 20,TAK,TAK,"Iwkowa 468"
136,Jabłonka,"Ośrodek Pomocy Społecznej w Jabłonce",57 947 09 97,,TAK,"ul. 3 Maja 1"
223,Jabłonka,"GOPS Jabłonka",18 261 11 47,TAK,TAK,"3 Maja 1"
115,Jodłownik,"Gminny Ośrodek Pomocy Społecznej w Jodłowniku",18 334 70 70,,TAK,"195"
203,Kamienica,"Gminny Ośrodek Pomocy Społecznej Kamienica",18 332 30 67,TAK,TAK,"Kamienica 420"
230,Koniusza,"Gminny Ośrodek Pomocy Społecznej Koniusza",12 386 90 32,TAK,TAK,"Koniusza 55"
231,Koszyce,"Gminny Ośrodek Pomocy Społecznej Koszyce",41 351 40 48,TAK,TAK,"Łokietkówny 14"
208,Kozłów,"GOPS Kozłów",41 384 10 33,TAK,TAK,"Kozłów 60"
137,Krościenko nad Dunajcem,"Gminny Ośrodek Pomocy Społecznej w Krościenku nad Dunajcem",18 262 30 09,,TAK,"ul. Esperanto 2"
123,Książ Wielki,"Gminny Ośrodek Pomocy Społecznej w Książu  Wielkim",41 381 33 83,,TAK,"ul. Warszawska 17"
243,Lanckorona,"Gminny Ośrodek Pomocy Społecznej Lanckorona",33 876 35 91,TAK,TAK,"3 Maja 587"
117,Limanowa,"Gminny Ośrodek Pomocy Społecznej w Limanowej",18 337 36 57,,TAK,"ul. Matki Boskiej Bolesnej 18"
194,Lipinki,"Ośrodek Pomocy Społecznej Lipinki",13 447 78 92,TAK,TAK,"Lipinki 53"
238,Lisia Góra,"Gminny Ośrodek Pomocy Społecznej Lisia Góra",14 678 45 68,TAK,TAK,"1 Maja 7"
235,Maków Podhalański,"Miejski Ośrodek Pomocy Społecznej w Makowie Podhalańskim",33 877 15 54,TAK,TAK,"Kościuszki 1"
108,Michałowice,"Gminny Ośrodek Pomocy Społecznej w Michałowicach",12 388 87 70,,TAK,"pl. Józefa Piłsudskiego 1"
72,Mogilany,"Centrum Usług Społecznych w Mogilanach",12 270 10 25,,TAK,"rynek Rynek 2"
196,Moszczenica,"Gminny Ośrodek Pomocy Społecznej Moszczenica",18 354-xx-xx,TAK,TAK,"Moszczenica 618"
119,Mszana Dolna,"Gminny Ośrodek Pomocy Społecznej w Mszanie Dolnej",18 331 05 41,,TAK,"ul. Spadochroniarzy 6"
190,Mędrzechów,"Gminny Ośrodek Pomocy Społecznej Mędrzechów",14 644 24 23,TAK,TAK,"Mędrzechów 434"
218,Nawojowa,"Gminny Ośrodek Pomocy Społecznej Nawojowa",18 445 70 68,TAK,TAK,"Nawojowa 313"
120,Niedźwiedź,"Gminny Ośrodek Pomocy Społecznej w Niedźwiedziu",18 331 27 76,,TAK,"233"
180,Niegowić,"Gminny Ośrodek Pomocy Społecznej Niegowić",,TAK,TAK,"Niegowić"
232,Nowe Brzesko,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Nowym Brzesku",12 385 26 55,TAK,TAK,"Krakowska 44"
