id,nazwa,typ_placowki,prowadzacy,data_aktualizacji,zrodlo,wojewodztwo,powiat,gmina,miasto_wies,ulica,kod_pocztowy,geo_lat,geo_long,telefon,email,www,liczba_miejsc,profil_opieki,koszt_pobytu,opis,godziny_otwarcia,facebook_url,instagram_url,dodatkowe_info
1,Środowiskowy Dom Samopomocy Biecz (Nadzieja),ŚDS,"Burmistrz Biecza zlecil Stowarzyszeniu na Rzecz Pomocy Rodzinie ""Nadzieja",01/09/2025,MUW Kraków,Małopolskie,gorlicki ,Biecz,Biecz,ul. Parkowa 1,38-340,49.73398118,21.25609674,18 440 61 22,sds.biecz@gmail.com,https://nadziejabiecz.pl/sds-w-bieczu-z-filia-w-gorlicach/,21,"B,C",Null,tu bedzie opis,,,,
2,Środowiskowy Dom Samopomocy Biecz - Filia w Gorlicach (Nadzieja),ŚDS,"Burmistrz Biecza zlecil Stowarzyszeniu na Rzecz Pomocy Rodzinie ""Nadzieja",01/09/2025,MUW Kraków,Małopolskie,gorlicki ,Biecz,Gorlice,ul.Wyszynskiego 18,38-300,49.67731845,21.16822015,18 53461 01,sds.gorlice@gmail.com,https://nadziejabiecz.pl/sds-w-bieczu-z-filia-w-gorlicach/,19,"B,C",Null,tu bedzie opis,,,,
3,Środowiskowy Dom Samopomocy Tomaszkowice,ŚDS,Wójt Gminy Biskupice,01/09/2025,MUW Kraków,Małopolskie,wielicki,Biskupice,Wieliczka,Tomaszowice 455,32-020,49.97663214,20.0986488,12 250 79 00,sdstomaszkowice@biskupice.pl,https://sdstomaszkowice.pl/,38,"A,B",Null,tu bedzie opis,,,,
4,Środowiskowy Dom Samopomocy Chełmek,ŚDS,Burmistrz Chełmka,01/09/2025,MUW Kraków,Małopolskie,oswiecimski,Chełmek,Chełmek,ul. Kochanowskiego 1,32-660,50.10290056,19.25058491,33 84614 72,sds@chelmek.pl,https://sds.chelmek.pl/,30,A,Null,tu bedzie opis,,,,
5,Środowiskowy Dom Samopomocy Jelcza,ŚDS,Wójt Gminy Charsznica,01/09/2025,MUW Kraków,Małopolskie,miechowski ,Charsznica,Charsznica,Jelcza 219,32-250,50.44262754,19.8777404,41 382 74 05,sds@charsznica.pl,http://www.sdsjelcza.charsznica.pl/,30,"A,B,C",Null,tu bedzie opis,,,,
6,Środowiskowy Dom Samopomocy Chrzanów,ŚDS,Burmistrz Miasta Chrzanowa,01/09/2025,MUW Kraków,Małopolskie,chrzanowski,Chrzanów,Chrzanów,ul. Kolonia Stella 11,32-500,50.4426617,19.87777259,32 623 52 60 wew.21,sds@chrzanow.pl,TBC,44,"A,B",Null,tu bedzie opis,,,,
7,Środowiskowy Dom Samopomocy Dobroczyce,ŚDS,Burmistrz Gminy i Miasta Dobczyce ,01/09/2025,MUW Kraków,Małopolskie,myslenicki,Dobroczyce,Dobroczyce,ul. Jagiellońska 2,32-410,49.88023629,20.09146985,501 814 113,sds@sds.dobczyce.pl,https://sds.dobczyce.pl/,39,"A,B,C",Null,tu bedzie opis,,,,
8,Środowiskowy Dom Samopomocy Zagórzany,ŚDS,Wójt Gminy Gdów,01/09/2025,MUW Kraków,Małopolskie,wielicki,Gdów,Gdów,Zagórzany 109,32-420,49.87565351,20.23367658,12 251 40 41,sds@sdszagorzany.pl,https://www.sdszagorzany.pl/,41,"A,B,C",Null,tu bedzie opis,,,,
9,Środowiskowy Dom Samopomocy Jabłonka (Barka) ,ŚDS,"Wójt Gminy Jabłonka zlecił Polskiemu Stowarzyszeniu na Rzecz Osób z Niepełnosprawnością Jabłonce ""BARKA"" ",01/09/2025,MUW Kraków,Małopolskie,nowatorski,Jabłonka,Jabłonka,"ul. Tetmajera 4,",34-480,49.4813996,19.6976874,18 265 24 90,zk.jablonka@psouu.org.pl ,http://www.barka.jablonka.pl/www/sdsonas.html,26,A,Null,tu bedzie opis,,,,
10,Środowiskowy Dom Samopomocy - Ognisko Terapeutyczne Jerzmanowice ,ŚDS,"Wójt Gminy Jabłonka zlecił Stowarzyszeniu Rodziców i Przyjaciół Osób Niepełnosprawnych,",01/09/2025,MUW Kraków,Małopolskie,krakowski,Jerzmanowice,Jerzmanowice,ul. Rajska 26,32-048,50.21534994,19.74559207,12 389 50 98,sripon@wp.pl,http://ognisko.jerzmanowice-przeginia.pl/index.html,25,"A,B,C",Null,tu bedzie opis,,,,
11,Środowiskowy Dom Samopomocy - Kalwaria Zebrzydowska,ŚDS,Burmistrz Kalwarii Zebrzydowskiej,01/09/2025,MUW Kraków,Małopolskie,wadowicki,Kalwaria Zebrzydowska,Kalwaria Zebrzydowska,Al. Jana Pawła II 7a,34 -130,49.86952463,19.68574604,798 818 317,biuro@sdskalwaria.pl,https://www.facebook.com/sdskalwaria,30,"A,B,C,D",Null,tu bedzie opis,,,,
12,Środowiskowy Dom Samopomocy Kolbark,ŚDS,"Stowarzyszeniu na Rzecz Zrównoważonego Rozwoju Społeczno-Gospodarczego ""Klucz"" / Wójt Gminy Klucze ",01/09/2025,MUW Kraków,Małopolskie,olkuski,Klucze,Kolbark,"ul. Źródlana 3,",32-310,50.36672487,19.6419282,32 647 80 50,biuro@stowarzyszenie-klucz.pl,https://www.stowarzyszenie-klucz.pl/,35,"A,B,C",Null,tu bedzie opis,,,,
13,Środowiskowy Dom Samopomocy Klucze,ŚDS,Polskiemu Stowarzyszeniu na Rzecz Osób zNiepełnosprawnością Intelektualną Koło w Wolbromiu /  Wójt Gminy Klucze ,01/09/2025,MUW Kraków,Małopolskie,olkuski,Klucze,Klucze,Osada 15,32-310,50.35342983,19.56257442,32 706 50 77,sdsklucze@psoni-wolbrom.pl,https://psoni-wolbrom.pl/,24,"B,D",Null,tu bedzie opis,,,,
