WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
12;11;03;5;04;1;Szeligówka;0422416;0422416;2025-01-01
12;08;04;5;05;1;Cisie-Gajówka;0246385;0246385;2025-01-01
12;08;04;5;05;1;Podlesie;0246474;0246474;2025-01-01
12;11;03;5;04;1;Brzuchacze;0422327;0422327;2025-01-01
12;11;03;5;04;1;Chraca;0422474;0422474;2025-01-01
12;08;04;5;02;1;Książ Mały-Kolonia;0246570;0246570;2025-01-01
12;15;04;2;04;1;Zagrody;0419816;0419816;2025-01-01
12;10;11;5;04;1;Żegiestów-Zdrój;0454942;0454913;2025-01-01
12;07;11;2;04;1;Zaświercze;0467525;0467525;2025-01-01
12;12;05;5;04;1;Kogutek;0217969;0217969;2025-01-01
12;12;05;5;04;1;U Granic;0218383;0218383;2025-01-01
12;08;01;2;05;1;Gajówka;0233649;0233649;2025-01-01
12;15;07;2;05;1;U Kachla;0070503;0070503;2025-01-01
12;15;09;2;04;1;Paracowie;0079266;0079148;2025-01-01
12;06;04;2;04;1;Pod Skałą;0321402;0321402;2025-01-01
12;19;03;2;04;1;Poszyna;0321862;0321862;2025-01-01
12;19;03;2;05;1;Poszynka;0321879;0321879;2025-01-01
12;06;06;5;05;1;Za Białką;0324903;0324903;2025-01-01
12;01;07;2;05;1;Jodłówka;0830090;0830090;2025-01-01
12;15;09;2;04;1;Zarębki;0079272;0079148;2025-01-01
12;12;05;5;04;1;Kolonia Zimkówka;0217857;0217857;2025-01-01
12;19;03;2;05;1;Ptakówka;0321885;0321885;2025-01-01
12;06;06;5;04;1;Wrzosy;0324984;0324984;2025-01-01
12;12;07;5;04;1;Nadmłynie;0224053;0224053;2025-01-01
12;15;04;2;04;1;Do Kamieńskiego;0419667;0419667;2025-01-01
12;15;04;2;04;1;Staszkowie;0419785;0419785;2025-01-01
12;01;03;2;05;1;Olszyny;0317234;0317234;2025-01-01
12;06;04;2;04;1;Na Księżym Polu;0321394;0321394;2025-01-01
12;16;03;2;04;1;Zagórze;0822720;0822713;2025-01-01
12;16;12;2;05;1;Waryś;1051867;1051867;2025-01-01
12;13;03;5;05;1;Nowopole;0050720;0050720;2025-01-01
12;15;09;2;04;1;Żmijówka;0079059;0078812;2025-01-01
12;12;07;5;04;1;Buczyna;0224515;0224515;2025-01-01
12;11;07;2;04;1;Leśniczówka na Lniarce;0440785;0440762;2025-01-01
12;11;04;2;04;1;Kąty;0422936;0422876;2025-01-01
12;15;07;2;04;1;Podoły;0068630;0068430;2025-01-01
12;15;07;2;04;1;Chmiele;0070319;0069575;2025-01-01
12;15;07;2;04;1;Granica;0068601;0068430;2025-01-01
12;15;07;2;04;1;Podkoźle;0068624;0068430;2025-01-01
12;15;07;2;04;1;Zagrody;0069470;0069144;2025-01-01
12;15;07;2;04;1;Czubakówka;0068587;0068430;2025-01-01
12;15;07;2;04;1;Kadelówka;0068618;0068430;2025-01-01
12;15;07;2;04;1;Krale;0069440;0069144;2025-01-01
12;15;07;2;04;1;Mączne;0069486;0069144;2025-01-01
12;15;07;2;04;1;Lechówka;0070390;0069575;2025-01-01
12;15;07;2;04;1;Stachówka Górna;0070466;0069575;2025-01-01
12;15;07;2;04;1;Laliki;0069457;0069144;2025-01-01
12;15;07;2;04;1;Stachówka Dolna;0070450;0069575;2025-01-01
12;15;07;2;04;1;Górki;0068593;0068430;2025-01-01
12;14;05;5;04;1;Szreniawa;0331895;0331895;2025-01-01
12;18;09;5;04;1;Górnica;0074116;0073944;2025-01-01
12;18;09;5;04;1;Leniówka;0074613;0074547;2025-01-01
12;15;09;2;04;1;Cyrchel;0079007;0078812;2025-01-01
12;06;12;5;02;1;Nowa Wieś;0335976;0335930;2025-01-01
12;15;09;2;04;1;Jaworki;0079013;0078812;2025-01-01
12;15;05;2;04;1;Klimasowa;0431421;0431007;2025-01-01
12;15;09;2;04;1;Tarnawska Góra;0079036;0078812;2025-01-01
12;16;12;2;04;1;Polanka;1051778;0835740;2025-01-01
12;10;12;2;04;1;Góry;0455137;0454994;2025-01-01
12;16;05;5;04;1;Skałka;0827975;0827969;2025-01-01
12;07;04;2;04;1;Godusza;0430195;0430150;2025-01-01
12;10;09;2;04;1;Gronie;0447161;0447161;2025-01-01
12;10;05;2;04;1;Gracze;1050810;1050810;2025-01-01
12;12;07;5;04;1;Majorat;0224410;0224410;2025-01-01
12;15;04;2;04;1;Jarominy;0419673;0419673;2025-01-01
12;15;04;2;04;1;Malinowo;0419710;0419710;2025-01-01
12;11;07;2;05;1;Śmietanowa;0441023;0441023;2025-01-01
12;12;03;2;05;1;Posada;0212854;0212854;2025-01-01
12;15;05;2;05;1;Folwark;0432573;0432573;2025-01-01
12;15;09;2;04;1;U Kachla;0079042;0078812;2025-01-01
12;12;05;5;04;1;Czarny Las;0218153;0218153;2025-01-01
12;06;10;5;05;1;Popowiec-Leśniczówka;0334706;0334706;2025-01-01
12;11;05;2;04;1;Zawodzie;0429000;0429000;2025-01-01
12;12;07;5;04;1;Rędziny;0224426;0224426;2025-01-01
12;16;15;5;04;1;Studzienki;1051991;1051991;2025-01-01
12;11;04;2;04;1;Podbrzezie;1049178;1049178;2025-01-01
12;13;04;5;04;1;Owczarnia;0057508;0057508;2025-01-01
12;15;04;2;04;1;Górny Kardel;0419740;0419740;2025-01-01
12;10;09;2;04;1;Kluczniki;0447050;0447050;2025-01-01
12;07;09;2;04;1;Klupki;0450967;0450967;2025-01-01
12;08;05;5;04;1;Podleśna Wola Górna;0251570;0251570;2025-01-01
12;15;04;2;04;1;Podleśna;0419696;0419696;2025-01-01
12;15;06;5;04;1;Jurki;0061148;0061148;2025-01-01
12;08;05;5;02;1;Stare Lisiny;0251357;0251357;2025-01-01
12;08;05;5;02;1;Parcelacja;0251908;0251908;2025-01-01
12;10;04;2;04;1;Granice;0426816;0426710;2025-01-01
12;04;02;5;04;1;Podkaczówka;0817681;0817681;2025-01-01
12;11;10;2;04;1;Górniki;1049600;1049600;2025-01-01
12;18;01;5;04;1;Groń;0045050;0045050;2025-01-01
12;16;03;2;04;1;Brzozówka;0822340;0822340;2025-01-01
12;15;04;2;04;1;Migasy;0419680;0419680;2025-01-01
12;15;06;5;04;1;Judaszówka;0060692;0060692;2025-01-01
12;15;06;5;04;1;Gronie;0061119;0061119;2025-01-01
12;07;09;2;04;1;Klimkówka;0452328;0452328;2025-01-01
12;10;09;2;04;1;Górka;0445363;0445363;2025-01-01
12;10;09;2;04;1;Gródek;0447416;0447416;2025-01-01
12;10;14;2;04;1;Granica;0460807;0460807;2025-01-01
12;12;07;5;02;1;Piaski;0224060;0224060;2025-01-01
12;12;04;2;04;1;Młyny;0215054;0215054;2025-01-01
12;06;15;2;02;1;Kawiory;0341882;0341882;2025-01-01
12;13;04;5;04;1;Granica;0057490;0057490;2025-01-01
12;10;13;5;02;1;Niemcowa;0459454;0459454;2025-01-01
12;15;08;2;04;1;Stonów;0995276;0077356;2025-01-01
12;15;04;2;04;1;Wielka Polana;0419791;0419791;2025-01-01
12;13;04;5;04;1;Babuda;0057550;0057550;2025-01-01
12;12;05;5;02;1;Zadole Kosmolowskie;0217975;0217975;2025-01-01
12;11;09;2;04;1;Grapa;0457478;0457478;2025-01-01
12;01;05;2;04;1;Grobla;0994360;0994360;2025-01-01
12;15;08;2;04;1;Cyrchel;0994680;0077356;2025-01-01
12;15;03;2;04;1;Polany;0050162;0050162;2025-01-01
12;12;07;5;02;1;Kolonia Suska;0224030;0224030;2025-01-01
12;13;05;2;04;1;Karolina;0063555;0063555;2025-01-01
12;15;04;2;04;1;Stasinka;0419779;0419779;2025-01-01
12;13;04;5;04;1;Kuskowizna;0057572;0057572;2025-01-01
12;13;04;5;04;1;Buk;0057336;0057336;2025-01-01
12;12;07;5;02;1;Kolonia Chełmska;0224018;0224018;2025-01-01
12;13;06;2;04;1;Puściny;0063839;0063839;2025-01-01
12;06;05;2;02;1;Legionówka Goszycka;0322732;0322732;2025-01-01
12;15;08;2;04;1;Norczak;0078189;0078189;2025-01-01
12;17;03;2;04;1;Łysa Polana;0418426;0418426;2025-01-01
12;12;07;5;02;1;Wymysłów;0224834;0224834;2025-01-01
12;12;04;2;04;1;Borek;0214971;0214971;2025-01-01
12;12;04;2;04;1;Kobylica;0215315;0215315;2025-01-01
12;12;04;2;04;1;Zarole;0215090;0215090;2025-01-01
12;11;05;2;04;1;Danielki;0429861;0429861;2025-01-01
12;12;05;5;02;1;Pazurek;0218118;0218118;2025-01-01
12;12;05;5;02;1;Dworskie;0217840;0217840;2025-01-01
12;12;04;2;04;1;Godawica;0215290;0215290;2025-01-01
12;12;04;2;02;1;Zalesie Golczowskie;0215309;0215309;2025-01-01
12;12;04;2;04;1;Góry Bydlińskie;0214876;0214876;2025-01-01
12;13;07;2;04;1;Pasternik;0064359;0064359;2025-01-01
12;13;04;5;04;1;Sybir;0057603;0057603;2025-01-01
