powiat,dps_placowki,dps_miejsca,pop_80plus_2024,pop_80plus_prog2030,pop_80plus_prog2035,dostepnosc_2024,dostepnosc_2030,dostepnosc_2035,cena_dps_mediana,cena_dps_srednia,n_placowek_z_cena,emerytura_malopolska,luka_miesieczna_zl,luka_roczna_zl
bocheński,1,157,3926,5057,6458,399.9,310.5,243.1,6817,6817,1,4085.1,2732,32784
brzeski,3,175,3601,4437,5506,486.0,394.4,317.8,7050,6959,3,4085.1,2965,35580
chrzanowski,1,101,5903,7322,9210,171.1,137.9,109.7,8134,8134,1,4085.1,4049,48588
dąbrowski,2,105,2472,2800,3397,424.8,375.0,309.1,6446,6446,2,4085.1,2361,28332
gorlicki,4,309,4505,5489,6840,685.9,562.9,451.8,6772,6733,4,4085.1,2687,32244
krakowski,20,2206,10668,13872,18239,2067.9,1590.3,1209.5,8722,8762,20,4085.1,4637,55644
limanowski,6,497,4614,5417,6503,1077.2,917.5,764.3,8120,8254,5,4085.1,4035,48420
m. Kraków,4,779,40355,47059,55411,193.0,165.5,140.6,10250,10200,4,4085.1,6165,73980
m. Nowy Sącz,3,333,3713,4743,5803,896.8,702.1,573.8,7869,7892,3,4085.1,3784,45408
m. Tarnów,4,348,6133,7177,8563,567.4,484.9,406.4,7180,7214,4,4085.1,3095,37140
miechowski,5,331,2425,3179,3941,1364.9,1041.2,839.9,6800,6611,5,4085.1,2715,32580
myślenicki,3,211,4278,5455,7207,493.2,386.8,292.8,8072,8127,3,4085.1,3987,47844
nowosądecki,5,338,7488,8718,10623,451.4,387.7,318.2,8050,8123,4,4085.1,3965,47580
nowotarski,2,163,7821,9040,10834,208.4,180.3,150.5,6948,6948,2,4085.1,2863,34356
olkuski,1,98,5091,6536,8315,192.5,149.9,117.9,8600,8600,1,4085.1,4515,54180
oświęcimski,3,323,7261,8597,10510,444.8,375.7,307.3,7538,7693,3,4085.1,3453,41436
proszowicki,2,175,1795,2379,3007,974.9,735.6,582.0,7136,7136,2,4085.1,3051,36612
suski,2,175,3378,4098,5132,518.1,427.0,341.0,6738,6738,2,4085.1,2653,31836
tarnowski,8,615,8341,9328,11312,737.3,659.3,543.7,7665,7341,8,4085.1,3580,42960
tatrzański,2,140,3064,3418,4177,456.9,409.6,335.2,7775,7775,2,4085.1,3690,44280
wadowicki,5,396,6118,7632,9691,647.3,518.9,408.6,7855,8040,5,4085.1,3770,45240
wielicki,5,210,4341,5971,8137,483.8,351.7,258.1,7990,8105,5,4085.1,3905,46860
