teryt_powiat,powiat,rok,typ,miara,populacja,zrodlo_var_id,zrodlo_url,pobrano
011212001000,Powiat bocheński,2015,historyczny,wiek_poprodukcyjny,17462,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2016,historyczny,wiek_poprodukcyjny,17984,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2017,historyczny,wiek_poprodukcyjny,18531,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2018,historyczny,wiek_poprodukcyjny,19134,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2019,historyczny,wiek_poprodukcyjny,19708,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2020,historyczny,wiek_poprodukcyjny,20255,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2021,historyczny,wiek_poprodukcyjny,20626,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2022,historyczny,wiek_poprodukcyjny,21097,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2023,historyczny,wiek_poprodukcyjny,21561,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212001000,Powiat bocheński,2024,historyczny,wiek_poprodukcyjny,21978,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2015,historyczny,wiek_poprodukcyjny,47138,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2016,historyczny,wiek_poprodukcyjny,48758,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2017,historyczny,wiek_poprodukcyjny,50247,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2018,historyczny,wiek_poprodukcyjny,51925,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2019,historyczny,wiek_poprodukcyjny,53620,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2020,historyczny,wiek_poprodukcyjny,56054,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2021,historyczny,wiek_poprodukcyjny,57258,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2022,historyczny,wiek_poprodukcyjny,58662,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2023,historyczny,wiek_poprodukcyjny,60318,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212006000,Powiat krakowski,2024,historyczny,wiek_poprodukcyjny,61687,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212008000,Powiat miechowski,2015,historyczny,wiek_poprodukcyjny,10996,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212008000,Powiat miechowski,2016,historyczny,wiek_poprodukcyjny,11227,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212008000,Powiat miechowski,2017,historyczny,wiek_poprodukcyjny,11401,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212008000,Powiat miechowski,2018,historyczny,wiek_poprodukcyjny,11577,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212008000,Powiat miechowski,2019,historyczny,wiek_poprodukcyjny,11788,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
