typ,id_jednostki,wojewodztwo,powiat,gmina,nazwa,kod_pocztowy,miejscowosc,ulica,numer_domu,telefon,www,email,godziny_pracy,teryt_gminy,latitude,longitude,geo_precyzja,uwagi
CUS,132.0,małopolskie,Tarnów,Tarnów,Centrum Usług Społecznych w Tarnowie,33-100,Tarnów,ul. Kazimierza Brodzińskiego,14,14 688 21 80,www.cus.tarnow.pl,cus@cus.tarnow.pl,"Godziny pracy CUS:
poniedziałek - piątek : 7:30 - 15:30

Godziny pracy Biura Obsługi Mieszkańców
poniedziałek: 8:00 - 17:00
wtorek - piątek: 8:00 - 15:00

Adres do eDoręczeń: AE:PL-15546-28068-JGDHE-15
Adres ePUAP: /mopstar/skrytka",1263011,50.0121,20.9858,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2835.0,małopolskie,krakowski,Liszki,Centrum Usług Społecznych w Liszkach,32-060,Liszki,ul. Św. Jana Kantego,5,(12) 256-10-63,https://liszki.pl/cus,cus@liszki.pl,"poniedziałek : 08:00 do 17:00
wtorek-piątek 7:30 do 15:30
piątek 7:30 do 14:30",1206072,50.0259,19.7459,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,5312.0,małopolskie,krakowski,Mogilany,Centrum Usług Społecznych w Mogilanach,32-031,Mogilany,rynek Rynek,2,(12) 270-10-25,,cus@cus.mogilany.pl,"poniedziałki w godz. 9.00 - 17.00
wtorki, środy, czwartki, piątki w godz. 7.00-15.00",1206092,49.9512,19.9383,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2863.0,małopolskie,myślenicki,Myślenice,Centrum Usług Społecznych  w Myślenicach,32-400,Myślenice,ul. Juliusza Słowackiego,82,(12) 272-19-98,www.cusmyslenice.pl,info@cusmyslenice.pl,"Poniedziałek 7:00 - 17:00
Wtorek-Piątek 7:00 - 15:00",1209011,49.8373,19.9378,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2872.0,małopolskie,nowosądecki,Grybów,Gminne Centrum Usług Społecznych w Grybowie,33-330,Grybów,ul. Jakubowskiego,33,(18) 448-42-40,gcus.gminagrybow.pl,gcus@gminagrybow.pl,poniedziałek-piątek 7:15 - 15:15,1210041,49.6246,20.9431,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2871.0,małopolskie,nowosądecki,Grybów,Miejskie Centrum Usług Społecznych w  Grybowie,33-330,Grybów,ul. Ogrodowa,4,18 445 21 62,mcus.grybow.pl,mcus@grybow.pl,"poniedziałek 7:00 - 17:00
wtorek 7:00 - 15:00 
środa 7:00 - 15:00 
czwartek 7:00 - 15:00 
piątek 7:00 - 15:00 ",1210041,49.6246,20.9431,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2874.0,małopolskie,nowosądecki,Korzenna,Centrum Usług Społecznych w Korzennej,33-322,Korzenna,,325,(18) 440-66-26,https://cuskorzenna.pl/,kontakt@cuskorzenna.pl,"Poniedziałek od 8.00 do 16.00
Wtorek od 7.15 do 15.15
Środa od 7.15 do 15.15
Czwartek od 7.15 do 15.15
Piątek od 7.15 do 15.15",1210072,49.6699,20.835,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2884.0,małopolskie,nowosądecki,Stary Sącz,Centrum Usług Społecznych w Starym Sączu,33-340,Stary Sącz,ul. 11 Listopada,11,(18) 446-20-70,https://starysacz.naszcus.pl/,cus@starysacz.naszcus.pl,"Poniedziałek 7:30-1`5:30
Wtorek 7:30 - 17:00
Środa 7:30 - 15:30
Czwartek 7:30 - 15:30
Piątek 15:30 - 17:00",1210151,49.5616,20.6348,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2901.0,małopolskie,olkuski,Klucze,Centrum Usług Społecznych w Kluczach,32-310,Klucze,ul. Zawierciańska,16,32 642 84 67        32 642 94 01,www.cus.gmina-klucze.pl,cus@gmina-klucze.pl,,1212042,50.3541,19.6132,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2907.0,małopolskie,oświęcimski,Kęty,Centrum Usług Społecznych w Kętach,32-650,Kęty,ul. Żwirki i Wigury,8,(33) 845-28-70,www.cus.kety.pl,poczta@cus.kety.pl,"Godziny
 pracy CUS: 1. od poniedziałku do piątku od 7.00 do 15.00, 
2. Dział profilaktyki uzależnień i przeciwdziałania przemocy domowej - poniedziałek, środa, czwartek, piątek -7.00-15.00, wtorek od 8.00 do 20.00,  
3. Punkt Informacji, Wsparcia i Pomocy dla osób dotkniętych przemocą domową - poniedziałki i środy od 15.00 do 17.00, 
4. Dział Usług Opiekuńczych pracuje w zadaniowym trybie pracy, w systemie dwuzmianowym - 7.00-20.00,  
5. W celu umożliwienia realizacji art. 12a ustawy o przeciwdziałaniu przemocy w rodzinie, pracownicy socjalni pełnią dyżur telefoniczny od 
poniedziałku do piątku  w godzinach od 15.00 do 21.00, oraz soboty i niedziele od godziny 7.00 do 21.00.",1213061,49.8834,19.2282,miejscowosc,źródło: RJPS eksport 06.03.2026
