typ,wojewodztwo,powiat,gmina,nazwa,kod_pocztowy,miejscowosc,adres,telefon,email
MOPS,śląskie,będziński,Będzin,Miejski Ośrodek Pomocy Społecznej w Będzinie,42-500,Będzin,ul. 11 Listopada 1,(32) 296-21-31,sekretariat@mops.bedzin.pl
GOPS,śląskie,będziński,Bobrowniki,Ośrodek Pomocy Społecznej w Bobrownikach,42-584,Dobieszowice,ul. Kościuszki 25c,(32) 287-78-63,ops@bobrowniki.pl
MOPS,śląskie,będziński,Czeladź,Miejski Ośrodek Pomocy Społecznej w Czeladzi,41-250,Czeladź,ul. 17 Lipca 27,(32) 265-14-42,mops@mops.czeladz.pl
GOPS,śląskie,będziński,Mierzęcice,Ośrodek Pomocy Społecznej w Mierzęcicach,42-460,Mierzęcice,ul. Wolności 46a,(32) 284-23-83,ops@mierzecice.pl
GOPS,śląskie,będziński,Psary,Ośrodek Pomocy Społecznej w Psarach,42-512,Psary,ul. Szkolna,(32) 267-22-62,opspsary@poczta.fm
GOPS,śląskie,będziński,Siewierz,Ośrodek Pomocy Społecznej w Siewierzu,42-470,Siewierz,ul. Żwirki i Wigury 16,(32) 649 94 92 (do 97),ops@ops.siewierz.pl
MOPS,śląskie,będziński,Sławków,Miejski Ośrodek Pomocy Społecznej w Sławkowie,41-260,Sławków,ul. Kościelna 11,(32) 260-82-28,mops@mops.slawkow.pl
MOPS,śląskie,będziński,Wojkowice,Miejski Ośrodek Pomocy Społecznej w Wojkowicach,42-580,Wojkowice,ul. Jana III Sobieskiego,(32) 769-50-78,mops@wojkowice.pl
GOPS,śląskie,bielski,Bestwina,Gminny Ośrodek Pomocy Społecznej w Bestwinie,43-512,Bestwina,ul. Szkolna 4,(32) 215-46-37,gops@bestwina.pl
GOPS,śląskie,bielski,Buczkowice Gmina Buczkowice-,Gminny Ośrodek Pomocy Społecznej w Buczkowicach,43-374,Buczkowice,ul. Lipowska,(33) 811-77-11,gops@gops.buczkowice.pl
GOPS,śląskie,bielski,Czechowice-Dziedzice,Ośrodek Pomocy Społecznej w Czechowicach-Dziedzicach,43-502,Czechowice-Dziedzice,ul. Kolejowa 37,(32) 215-44-09 | (32) 215-23-88 | (32) 215-50-98,sekretariat@ops-czdz.pl
GOPS,śląskie,bielski,Jasienica,Gminny Ośrodek Pomocy Społecznej w Jasienicy,43-385,Jasienica,,(33) 815-29-92 | (33) 815-32-96,gops@jasienica.pl
GOPS,śląskie,bielski,Jaworze,Gminny Ośrodek Pomocy Społecznej w Jaworzu,43-384,Jaworze,ul. Zdrojowa 82,(33) 828-66-72,gops@jaworze.pl
GOPS,śląskie,bielski,Kozy,Gminny Ośrodek Pomocy Społecznej w Kozach,43-340,Kozy,ul. Szkolna 1,(33) 817-58-27,gops@gops.kozy.pl
GOPS,śląskie,bielski,Porąbka,Gminny Ośrodek Pomocy Społecznej w Porąbce,43-353,Porąbka,ul. Rynek 4,(33) 810-60-45,gops@porabka.pl
MOPS,śląskie,bielski,Szczyrk,Miejski Ośrodek Pomocy Społecznej w Szczyrku,43-370,Szczyrk,ul. Beskidzka 4,(33) 817-89-74,mops@szczyrk.pl
