nazwa,typ_placowki,ulica,miejscowosc,kod_pocztowy,powiat,wojewodztwo,telefon,email,strona_www,latitude,longitude,zrodlo_url
Stowarzyszenie „Uniwersytet Trzeciego Wieku w Andrychowie”,UTW,ul. Krakowska 112,Andrychów,34-120,wadowicki,małopolskie,605 43 45 20,utw.andrychow@gmail.com,http://utw.andrychow.eu/,49.854976,19.3421268,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-andrychowie/
Uniwersytet Trzeciego Wieku w Brzesku przy Miejskim Ośrodku Kultury,UTW,Plac Targowy 10,Brzesko,32-800,brzeski,małopolskie,(14) 68 496 60,kultura@mok-brzesko.pl,https://mok-brzesko.pl/utw/,49.9705917,20.6088471,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-brzesku-przy-miejskim-osrodku-kultury/
"Uniwersytet Trzeciego Wieku Ropa, Stowarzyszenie Miłośników Wsi Ropa",UTW,"Ropa 733, 38-312",Ropa,,gorlicki,małopolskie,508 633 423,stowmwr@wp.pl,http://utwropa.pl/,49.5995356,21.0443748,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-ropa-stowarzyszenie-milosnikow-wsi-ropa/
Jagielloński Uniwersytet Trzeciego Wieku w Krakowie,UTW,al. Mickiewicza 3,Kraków,31-120,m. Kraków,małopolskie,"(12) 634 13 55, wew. 207, 206",jutw@uj.edu.pl,https://utw.uj.edu.pl/aktualnosci,50.060558,19.9249743,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/jagiellonski-uniwersytet-trzeciego-wieku-w-krakowie/
"Stowarzyszenie Uniwersytet Trzeciego Wieku ,,Aktywni, ambitni, asertywni” w gminie Igołomi-Wawrzeńczycach",UTW,"Wawrzeńczyce 160, 32-125",Igołomia-Wawrzeńczyce,,krakowski,małopolskie,(12) 2874010,ckip@poczta.onet.pl,"http://www.ckip.igwa.pl/p,114,uniw",50.1071951,20.3073449,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-aktywni-ambitni-asertywni-w-gminie-igolomi-wawrzenczycach/
"Tarnowski Uniwersytet Trzeciego Wieku, Fundacja „Kromka Chleba”",UTW,pl. Kazimierza 5,Tarnów,33-100,m. Tarnów,małopolskie,(14) 656-02-36,fundacja@kromkachleba.pl,https://kromkachleba.pl/pl/fundacja/dzialalnosc/tutw,50.0120222,20.9863733,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/tarnowski-uniwersytet-trzeciego-wieku-fundacja-kromka-chleba/
Uniwersytet Trzeciego Wieku Gdów,UTW,ul. Krakowska 398,Gdów,32-420,wielicki,małopolskie,501225365,edyta-trojanska@gdow.pl;,https://www.gdow.pl/mieszkaniec/seniorzy,49.9084172,20.198676,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-gdow/
Uniwersytet Trzeciego Wieku przy Podgórskim Stowarzyszeniu Kulturalno-Społecznym w Lipnicy Murowanej,UTW,"Lipnica Murowana 83, 32-724",Lipnica Murowana,,bocheński,małopolskie,697 602 327,utwlipnica@interia.pl,http://utw.vxm.pl/,49.8575331,20.524154,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-przy-podgorskim-stowarzyszeniu-kulturalno-spolecznym-w-lipnicy-murowanej/
Stowarzyszenie Uniwersytet Trzeciego Wieku w Drwinii,UTW,Drwinia 173,Drwinia,32-709,bocheński,małopolskie,(12) 281 71 14,utwdrwinia@wp.pl,,50.095232,20.4452169,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-drwinii/
"Nowohucka Akademia Seniora, Stowarzyszenie Przyjaciół Nowej Huty",UTW,os. Centrum A 6A,Kraków,31-923,m. Kraków,małopolskie,12 644 68 10 wew. 25,nas@krakownh.pl,http://krakownh.pl/projekty-i-cykle/nas,50.0726513,20.0417988,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/nowohucka-akademia-seniora-stowarzyszenie-przyjaciol-nowej-huty/
Uniwersytet Trzeciego Wieku – „Globus” w Gnojniku,UTW,Gnojnik 363,Gnojnik,32-864,brzeski,małopolskie,(14) 686 96 00,halinakrakowska777@gmail.com,,49.8955047,20.6067354,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-globus-w-gnojniku/
