id,nazwa,typ,typ_krotki,ulica,miejscowosc,kod_pocztowy,powiat,wojewodztwo,latitude,longitude,liczba_miejsc,koszt_pobytu,profil_opieki,telefon,www
33,Dom Pomocy Społecznej Przystań,DPS,DPS,Aleja Armii Krajowej 181,Bielsko-Biała,43-300,bielski,śląskie,49.82200000000001,19.044,25,9266,"E,F",338147145,https://dpshospicjum.pl/
34,Dom Pomocy Społecznej dla Osób Starszych,DPS,DPS,ul. Żywiecka 15,Bielsko-Biała,43-300,bielski,śląskie,49.805,19.029,57,6567,E,334979127,https://www.dpsos-bielsko.pl/
35,Dom Pomocy Społecznej dla Przewlekle Chorych,DPS,DPS,ul. Olimpijska 11,Bielsko-Biała,43-300,bielski,śląskie,49.821,19.046,,8655,"E,F",,
36,Dom Pomocy Społecznej Dom Nauczyciela,DPS,DPS,ul. Pocztowa 14a,Bielsko-Biała,43-300,bielski,śląskie,49.819,19.037,,6424,E,,
19,Dom Pomocy Społecznej w Bochni,DPS,DPS,ul. Karolina 14G,Bochnia,32-700,bocheński,małopolskie,49.9799,20.4422,157,6817,"dla osób w podeszłym wieku 90 miejsc
dla osób przewlekle psychicznie chorych 67 miejsc",14 612 59 90,https://dpsbochnia.pl/
22,Dom Pomocy Społecznej-Regionalne Centrum Rehabilitacji i Pomocy Społecznej w Borzęcinie,DPS,DPS,591,Borzęcin,32-825,brzeski,małopolskie,50.0652,20.7091,100,7050,"dla osób w podeszłym wieku 48 miejsc
dla osób niepełnosprawnych fizycznie - 50 miejsc, 
2 miejsca przeznaczone na świadczenie usług wsparcia krótkoterminowego całodobowego",14 674 05 50,https://rcrips.pl/
20,Dom Pomocy Społecznej w Brzesku,DPS,DPS,ul. Starowiejska 6,Brzesko,32-800,brzeski,małopolskie,49.9757,20.6177,50,8052,dla dzieci i młodzieży niepełnosprawnych intelektualnie,14 663 05 84,https://brzeskodps.pl/
21,Dom Pomocy Społecznej w Porąbce Uszewskiej,DPS,DPS,Uszewska 272,Porąbka Uszewska,32-854,brzeski,małopolskie,49.9325,20.6806,25,5775,dla osób w podeszłym wieku,14 665 68 60,https://dps-pu.pl/
23,Powiatowy Dom Pomocy Społecznej im. Adama Starzeńskiego w Płazie ,DPS,DPS,ul. Wiosny Ludów 4,Płaza,32-552,chrzanowski,małopolskie,50.0989,19.4674,101,8134,dla osób przewlekle psychicznie chorych,60 388 81 47,https://www.dpsplaza.pl/
25,Dom Pomocy Społecznej Św. Brata Alberta Chmielowskiego Caritas Diecezji Tarnowskiej w Dąbrowie Tarnowskiej,DPS,DPS,ul. Św. Br. A. Chmielowskiego 16,Dąbrowa Tarnowska,33-200,dąbrowski,małopolskie,50.172,20.9996,35,6550,dla osób przewlekle somatycznie chorych,14 642 44 51,https://caritas.diecezja.tarnow.pl/index.php/pl/placowki/dom-pomocy-spolecznej-sw-br-alberta-w-dabrowie-tarnowskiej
24,Dom Radosnej Starości im. Jana Pawła II w Kupieninie,DPS,DPS,35,Kupienin,33-221,dąbrowski,małopolskie,50.3063,20.9603,70,6343,dla osób w podeszłym wieku,14 643 73 10,https://drskupienin.pl/
27,Dom Pomocy Społecznej w Gorlicach ,DPS,DPS,ul. Sienkiewicza 30,Gorlice,38-300,gorlicki,małopolskie,49.6535,21.1681,86,6718,dla osób w podeszłym wieku,18 352 67 08,https://dpsgorlice.pl/
26,Dom Pomocy Społecznej w Gorlicach ,DPS,DPS,ul. Michalusa 14,Gorlice,38-300,gorlicki,małopolskie,49.6691,21.1725,120,6826,dla osób przewlekle somatycznie chorych,18 353 54 08,https://www.dpsmichalusagorlice.pl/
28,Dom Pomocy Społecznej w Klimkówce ,DPS,DPS,Klimkówka 67,Ropa,38-312,gorlicki,małopolskie,49.5566,21.0748,78,7045,dla osób przewlekle psychicznie chorych,18 351 61 72,http://www.dpsklimkowka.cba.pl/
29,Dom Pomocy Społecznej w Wapiennem,DPS,DPS,Wapienne 70,Sękowa,38-307,gorlicki,małopolskie,49.63,21.283097,25,6344,"dla osób w podeszłym wieku - 15 miejsc 
osób przewlekle somatycznie chorych - 10 miejsc",18 447 90 16,https://domwczasowy-maria.pl/dom-opieki-dom-spokojnej-starosci/
48,Dom Pomocy Społecznej w Batowicach,DPS,DPS,ul. Matejki 24,Batowice,32-086,krakowski,małopolskie,50.1124,20.0183,117,8661,dla osób przewlekle somatycznie chorych,12 285 70 71,http://dpsbatowice.pl/kontakt/
50,Dom Pomocy Społecznej w Karniowicach,DPS,DPS,ul. Osiedlowa 10,Karniowice,32-082,krakowski,małopolskie,50.1519,19.7742,90,8548,"dla osób w podeszłym wieku – 40 miejsc,
dla osób przewlekle somatycznie chorych – 50 miejsc",12 285 21 01,http://www.dpskarniowice.pl/wp/kontakt/
54,Dom Pomocy Społecznej w Prusach,DPS,DPS,"Prusy, ul. Kocmyrzowska 107",Kocmyrzów,32-010,krakowski,małopolskie,50.1191,20.0893,56,8200,"dla dorosłych niepełnosprawnych intelektualnie – 41 miejsc
dla dzieci i młodzieży niepełnosprawnych intelektualnie - 15 miejsc",12 387 03 00,https://zakony-zenskie.pl/domy-pomocy-spolecznej-dps/
